"Website","Primary Email","All Emails","On-Domain"
"box8.in","talk@box8.in","talk@box8.in; corporatesales@box8.in; partnership@box8.in; jobs@box8.in","yes"
"biryanibykilo.com","contact@biryanibykilo.com","contact@biryanibykilo.com; refund@biryanibykilo.com","yes"
"behrouzbiryani.com","help@behrouzbiryani.com","help@behrouzbiryani.com","yes"
"freshmenu.com","","",""
"epigamia.com","","",""
"sleepyowl.co","help@sleepyowl.co","help@sleepyowl.co; business@sleepyowl.co; marketing@sleepyowl.co","yes"
"bluetokaicoffee.com","getcoffee@bluetokaicoffee.com","getcoffee@bluetokaicoffee.com","yes"
"ragecoffee.in","","",""
"vahdam.com","help@vahdam.com","help@vahdam.com","yes"
"teabox.com","","",""
"chaayos.com","bazaar@chaayos.com","bazaar@chaayos.com; letstalk@chaayos.com","yes"
"nykaa.com","","",""
"amul.com","","",""
"motherdairy.com","","",""
"heritagefoods.in","hfl@heritagefoods.in","hfl@heritagefoods.in; customercare@heritagefoods.in","yes"
"hatsun.com","","",""
"paragmilkfoods.com","","",""
"marico.com","","",""
"dabur.com","","",""
"emamigroup.com","","",""
"himalayawellness.com","","",""
"patanjaliayurved.net","","",""
"baidyanath.com","cc@baidyanath.com","cc@baidyanath.com","yes"
"keralaayurveda.biz","","",""
"forestessentialsindia.com","","",""
"kamaayurveda.com","","",""
"thegoodchai.in","","",""
"bikaji.com","care@bikaji.com","online@bikaji.com; care@bikaji.com","yes"
"haldiramsdelhincr.com","","",""
"parleproducts.com","","",""
"britannia.co.in","feedback@britindia.com","feedback@britindia.com; media@britindia.com","no"
"itcportal.com","","",""
"nestle.in","","",""
"thirdwavecoffee.in","orders@thirdwavecoffee.in","orders@thirdwavecoffee.in","yes"
"sevenbeansco.com","","",""
"nimblepos.com","","",""
"menukart.in","","",""
"zappfresh.com","support@zappfresh.com","support@zappfresh.com; info@zappfresh.com","yes"
"dream11.com","","",""
"mpl.live","","",""
"winzogames.com","","",""
"gamezop.com","helpdesk@gamezop.com","helpdesk@gamezop.com","yes"
"zupee.com","care@zupee.com","care@zupee.com","yes"
"my11circle.com","","",""
"rummycircle.com","support@rummycircle.com","support@rummycircle.com","yes"
"adda52.com","info@adda52.com","info@adda52.com","yes"
"pokerbaazi.com","info@pokerbaazi.com","info@pokerbaazi.com","yes"
"a23games.com","","",""
"jungleegames.com","","",""
"nazara.com","","",""
"nodwingaming.com","","",""
"skyesports.gg","","",""
"rooter.gg","support@rooter.io","support@rooter.io","no"
"loco.gg","","",""
"hungama.com","","",""
"mxplayer.in","support@mxplayer.in","support@mxplayer.in","yes"
"sonyliv.com","help@sonyliv.com","livsupport@sonyliv.com; help@sonyliv.com","yes"
"zee5.com","support.in@zee5.com","support.in@zee5.com","yes"
"voot.com","","",""
"altbalaji.com","","",""
"erosnow.com","support@erosnow.com","support@erosnow.com","yes"
"jiocinema.com","","",""
"mojapp.in","","",""
"share.myjosh.in","yourfriends@myjosh.in","yourfriends@myjosh.in","yes"
"chingari.io","","",""
"sharechat.com","grievance@sharechat.co","grievance@sharechat.co","no"
"kooapp.com","","",""
"dailyhunt.in","","",""
"inshorts.com","","",""
"matrubharti.com","info@matrubharti.com","info@matrubharti.com","yes"
"lokal.app","","",""
"publicapp.io","","",""
"newspoint.com","help@newspoint.com","help@newspoint.com","yes"
"gameskraft.com","grievance.officer@gameskraft.com","grievance.officer@gameskraft.com","yes"
"spartanpoker.com","","",""
"pocketfm.in","","",""
"kukufm.com","support@kukufm.com","support@kukufm.com","yes"
"gaana.com","","",""
"jiosaavn.com","","",""
"wynk.in","","",""
"resso.com","","",""
"stageott.com","","",""
"hoichoi.tv","","",""
"planetmarathi.com","","",""
"in.cinepolis.com","","",""
"in.bookmyshow.com","","",""
"postman.com","info@postman.com","info@postman.com; info-jp@postman.com","yes"
"hasura.io","","",""
"appsmith.com","sales@appsmith.com","sales@appsmith.com","yes"
"budibase.com","","",""
"tooljet.com","hello@tooljet.com","hello@tooljet.com; support@tooljet.com","yes"
"dronahq.com","inquiries@dronahq.com","inquiries@dronahq.com","yes"
"superblocks.com","contact@superblocks.com","contact@superblocks.com","yes"
"retool.com","support@retool.com","support@retool.com","yes"
"jetadmin.io","","",""
"supabase.com","legal@supabase.com","legal@supabase.com; privacy@supabase.com; abuse@supabase.com; security@supabase.com; help-events@supabase.com","yes"
"planetscale.com","","",""
"railway.app","team@railway.com","team@railway.com","no"
"render.com","support@render.com","support@render.com","yes"
"fly.io","","",""
"vercel.com","","",""
"netlify.com","fraud@netlify.com","fraud@netlify.com","yes"
"cloudflare.com","","",""
"gumlet.com","support@gumlet.com","support@gumlet.com","yes"
"cloudinary.com","support@cloudinary.com","support@cloudinary.com; hr.operations@cloudinary.com","yes"
"imagekit.io","support@imagekit.io","support@imagekit.io","yes"
"uploadcare.com","hello@uploadcare.com","help@uploadcare.com; hello@uploadcare.com","yes"
"filestack.com","support@filestack.com","support@filestack.com","yes"
"transloadit.com","hello@transloadit.com","support@transloadit.com; hello@transloadit.com","yes"
"bytescale.com","hello@bytescale.com","hello@bytescale.com","yes"
"sirv.com","support@sirv.com","sales@sirv.com; support@sirv.com","yes"
"quickheal.co.in","support@quickheal.co.in","estore@quickheal.co.in; renew@quickheal.co.in; support@quickheal.co.in","yes"
"k7computing.com","","",""
"seqrite.com","support@seqrite.com","support@seqrite.com; sales_dubai@seqrite.com","yes"
"escanav.com","support@escanav.com","sales@escanav.com; support@escanav.com","yes"
"tatacommunications.com","analystrelations@tatacommunications.com","analystrelations@tatacommunications.com","yes"
"sify.com","","",""
"wipro.com","","",""
"hcltech.com","","",""
"infosys.com","","",""
"tcs.com","","",""
"techmahindra.com","investor.relations@techmahindra.com","investor.relations@techmahindra.com; ruchie.khanna@techmahindra.com","yes"
"mphasis.com","","",""
