"Email","Company","Website","On-Domain"
"feedback@khatabook.com","Khatabook","khatabook.com","yes"
"contact@okcredit.in","Okcredit","okcredit.in","yes"
"support@enkash.com","Enkash","enkash.com","yes"
"help@happay.com","Happay","happay.com","yes"
"care@zaggle.in","Zaggle","zaggle.in","yes"
"hello@fi.money","Fi","fi.money","yes"
"contact@jupiter.money","Jupiter","jupiter.money","yes"
"info@niyo.co","Niyo","niyo.co","yes"
"hello@moneytap.com","Moneytap","moneytap.com","yes"
"support@cashe.co.in","Co","cashe.co.in","yes"
"wecare@lazypay.in","Lazypay","lazypay.in","yes"
"help@zestmoney.in","Zestmoney","zestmoney.in","yes"
"care@kissht.com","Kissht","kissht.com","yes"
"grievance.officer@stashfin.com","Stashfin","stashfin.com","yes"
"cs.fintech@loantap.in","Loantap","loantap.in","yes"
"care@lendingkart.com","Lendingkart","lendingkart.com","yes"
"support@flexiloans.com","Flexiloans","flexiloans.com","yes"
"sales@indifi.com","Indifi","indifi.com","yes"
"contact@rupifi.com","Rupifi","rupifi.com","yes"
"customer@banksathi.com","Banksathi","banksathi.com","yes"
"care@paisabazaar.com","Paisabazaar","paisabazaar.com","yes"
"care@policybazaar.com","Policybazaar","policybazaar.com","yes"
"help@coverfox.com","Coverfox","coverfox.com","yes"
"hello@acko.com","Acko","acko.com","yes"
"hello@godigit.com","Godigit","godigit.com","yes"
"support@turtlemint.com","Turtlemint","turtlemint.com","yes"
"support@insurancedekho.com","Insurancedekho","insurancedekho.com","yes"
"info@loophealth.com","Loophealth","loophealth.com","yes"
"connect@plumhq.com","Plumhq","plumhq.com","yes"
"support@nova-benefits.com","Novabenefits","novabenefits.com","no"
"support@groww.in","Groww","groww.in","yes"
"support@upstox.com","Upstox","upstox.com","yes"
"support@angelone.in","Angelone","angelone.in","yes"
"support@5paisa.com","5paisa","5paisa.com","yes"
"compliance@fisdom.com","Fisdom","fisdom.com","yes"
"support@smallcase.com","Smallcase","smallcase.com","yes"
"help@dhan.co","Dhan","dhan.co","yes"
"support@fyers.in","Fyers","fyers.in","yes"
"support@samco.in","Samco","samco.in","yes"
"exg.support@paytmmoney.com","Paytmmoney","paytmmoney.com","yes"
"po@etmoney.com","Etmoney","etmoney.com","yes"
"partner.support@wealthy.in","Wealthy","wealthy.in","yes"
"help@scripbox.com","Scripbox","scripbox.com","yes"
"assist@nobroker.in","Nobroker","nobroker.in","yes"
"support@housing.com","Housing","housing.com","yes"
"services@99acres.com","99acres","99acres.com","yes"
"connect@squareyards.com","Squareyards","squareyards.com","yes"
"customer.service@proptiger.com","Proptiger","proptiger.com","yes"
"help@nestaway.com","Nestaway","nestaway.com","yes"
"operations@stanzaliving.com","Stanzaliving","stanzaliving.com","yes"
"info@zolostays.com","Zolostays","zolostays.com","yes"
"guestsupport.na@oyorooms.com","Oyorooms","oyorooms.com","yes"
"hello@treebohotels.com","Treebo","treebo.com","no"
"support@fabhotels.com","Fabhotels","fabhotels.com","yes"
"hello@settlin.in","Settl","settl.in","no"
"sales@adda.io","Apartmentadda","apartmentadda.com","no"
"contact@mygate.com","Mygate","mygate.com","yes"
"investors@prestigeconstructions.com","Prestigeconstructions","prestigeconstructions.com","yes"
"marketing@sobha.com","Sobha","sobha.com","yes"
"here4you@brigadegroup.com","Brigadegroup","brigadegroup.com","yes"
"info@mahindralifespaces.com","Mahindralifespaces","mahindralifespaces.com","yes"
"homes@larsentoubro.com","Lntrealty","lntrealty.com","no"
"sales@puravankara.com","Puravankara","puravankara.com","yes"
"sales@koltepatil.com","Koltepatil","koltepatil.com","yes"
"sales@hiranandani.net","Hiranandani","hiranandani.com","no"
"service.support@lodhagroup.com","Lodhagroup","lodhagroup.in","no"
"info@dlf.in","Dlf","dlf.in","yes"
"sales@m3mindia.com","M3mindia","m3mindia.com","yes"
"info@signatureglobal.in","Signatureglobal","signatureglobal.in","yes"
"mail@omaxe.com","Omaxe","omaxe.com","yes"
"tatacare@tatahousing.com","Tatahousing","tatahousing.in","no"
"ir@oberoirealty.com","Oberoirealty","oberoirealty.com","yes"
"customersupport@housr.in","Housr","housr.in","yes"
"info@your-space.in","Your Space","your-space.in","yes"
"info@rentofly.com","Rentofly","rentofly.com","yes"
"jo@rentomojo.com","Rentomojo","rentomojo.com","yes"
"support@olaelectric.com","Olaelectric","olaelectric.com","yes"
"customercare@atherenergy.com","Atherenergy","atherenergy.com","yes"
"contact@revoltmotors.com","Revoltmotors","revoltmotors.com","yes"
"care@simpleenergy.in","Simpleenergy","simpleenergy.in","yes"
"support@ultraviolette.com","Ultraviolette","ultraviolette.com","yes"
"info@kabiramobility.com","Kabiramobility","kabiramobility.com","yes"
"help@theporter.in","Porter","porter.in","no"
"hello@shadowfax.in","Shadowfax","shadowfax.in","yes"
"support@zeptonow.com","Zeptonow","zeptonow.com","yes"
"customercare@freshtohome.com","Freshtohome","freshtohome.com","yes"
"connect@wolkus.com","Fasal","fasal.co","no"
"info@satsure.co","Satsure","satsure.co","yes"
"grievance.committee@stellapps.com","Stellapps","stellapps.com","yes"
"info@aquaconnect.blue","Aquaconnect","aquaconnect.blue","yes"
"hello@intellolabs.com","Intellolabs","intellolabs.com","yes"
"admin@farmeasy.co","Farmeasy","farmeasy.co","yes"
"info@kisaantrade.com","Kisaantrade","kisaantrade.com","yes"
"inquiry@petpooja.com","Petpooja","petpooja.com","yes"
"support@posist.com","Posist","posist.com","yes"
"info@restroworks.com","Restroworks","restroworks.com","yes"
"support@urbanpiper.com","Urbanpiper","urbanpiper.com","yes"
"hello@eatclub.in","Eatclub","eatclub.in","yes"
"info@rebelfoods.com","Rebelfoods","rebelfoods.com","yes"
"talk@box8.in","Box8","box8.in","yes"
"contact@biryanibykilo.com","Biryanibykilo","biryanibykilo.com","yes"
"help@behrouzbiryani.com","Behrouzbiryani","behrouzbiryani.com","yes"
"help@sleepyowl.co","Sleepyowl","sleepyowl.co","yes"
"getcoffee@bluetokaicoffee.com","Bluetokaicoffee","bluetokaicoffee.com","yes"
"help@vahdam.com","Vahdam","vahdam.com","yes"
"bazaar@chaayos.com","Chaayos","chaayos.com","yes"
"hfl@heritagefoods.in","Heritagefoods","heritagefoods.in","yes"
"cc@baidyanath.com","Baidyanath","baidyanath.com","yes"
"care@bikaji.com","Bikaji","bikaji.com","yes"
"feedback@britindia.com","Co","britannia.co.in","no"
"orders@thirdwavecoffee.in","Thirdwavecoffee","thirdwavecoffee.in","yes"
"support@zappfresh.com","Zappfresh","zappfresh.com","yes"
"helpdesk@gamezop.com","Gamezop","gamezop.com","yes"
"care@zupee.com","Zupee","zupee.com","yes"
"support@rummycircle.com","Rummycircle","rummycircle.com","yes"
"info@adda52.com","Adda52","adda52.com","yes"
"info@pokerbaazi.com","Pokerbaazi","pokerbaazi.com","yes"
"support@rooter.io","Rooter","rooter.gg","no"
"support@mxplayer.in","Mxplayer","mxplayer.in","yes"
"help@sonyliv.com","Sonyliv","sonyliv.com","yes"
"support.in@zee5.com","Zee5","zee5.com","yes"
"support@erosnow.com","Erosnow","erosnow.com","yes"
"yourfriends@myjosh.in","Myjosh","share.myjosh.in","yes"
"grievance@sharechat.co","Sharechat","sharechat.com","no"
"info@matrubharti.com","Matrubharti","matrubharti.com","yes"
"help@newspoint.com","Newspoint","newspoint.com","yes"
"grievance.officer@gameskraft.com","Gameskraft","gameskraft.com","yes"
"support@kukufm.com","Kukufm","kukufm.com","yes"
"info@postman.com","Postman","postman.com","yes"
"sales@appsmith.com","Appsmith","appsmith.com","yes"
"hello@tooljet.com","Tooljet","tooljet.com","yes"
"inquiries@dronahq.com","Dronahq","dronahq.com","yes"
"contact@superblocks.com","Superblocks","superblocks.com","yes"
"support@retool.com","Retool","retool.com","yes"
"legal@supabase.com","Supabase","supabase.com","yes"
"team@railway.com","Railway","railway.app","no"
"support@render.com","Render","render.com","yes"
"fraud@netlify.com","Netlify","netlify.com","yes"
"support@gumlet.com","Gumlet","gumlet.com","yes"
"support@cloudinary.com","Cloudinary","cloudinary.com","yes"
"support@imagekit.io","Imagekit","imagekit.io","yes"
"hello@uploadcare.com","Uploadcare","uploadcare.com","yes"
"support@filestack.com","Filestack","filestack.com","yes"
"hello@transloadit.com","Transloadit","transloadit.com","yes"
"hello@bytescale.com","Bytescale","bytescale.com","yes"
"support@sirv.com","Sirv","sirv.com","yes"
"support@quickheal.co.in","Co","quickheal.co.in","yes"
"support@seqrite.com","Seqrite","seqrite.com","yes"
"support@escanav.com","Escanav","escanav.com","yes"
"analystrelations@tatacommunications.com","Tatacommunications","tatacommunications.com","yes"
"investor.relations@techmahindra.com","Techmahindra","techmahindra.com","yes"
